agence,alternance,categorie,certificateur_nom_rncp,certificateur_nom_rs,code_rncp,code_rs,date_debut,date_fin,date_limite,distanciel,echelle_duree,formacode_code_rncp,formacode_code_rs,formacode_nom_rncp,formacode_nom_rs,intitule_formation,niveau_sortie_rncp,nsf_code_rncp,nsf_code_rs,nsf_nom_rncp,nsf_nom_rs,region,rncp_url,rs_url,siret_rncp,siret_rs,statut_registre_rncp,statut_registre_rs,titre_rncp,titre_rs,voie_acces
"Simplon Lyon,Simplon Montreuil,Simplon Toulouse,Simplon Marseille République,Simplon Lille -Wazemmes,Simplon Montreuil,Simplon Lyon,Simplon Toulouse",False,Développement d'applications,,,,,11/10/2024,08/11/2024,06/10/2024,False,inférieur à 3 mois,,,,,Apple Foundation Program - Développement mobile iOS,,,,,,Occitanie,,,,,,,,,
"Simplon Boulogne-sur-Mer,Simplon Toulouse,100% en ligne,Simplon Aulnay-sous-Bois",True,Développement d'applications,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,SIMPLON.CO,37674,5487,16/09/2024,19/09/2025,31/08/2024,False,au-delà de 7 mois,"31090,46288,31006,70710",31024,"Programmation web,Qualité web,Sécurité informatique,logiciel gestion de contenu e-commerce",Méthode agile,Développeur-euse web et web mobile,Niveau 5,326t,"310p,315p,300","Programmation, mise en place de logiciels","Spécialités plurivalentes des échanges et de la gestion (organisation , gestion),Spécialités plurivalentes des échanges et de la gestion (organisation, gestion),Spécialites plurivalentes des services",Auvergne-Rhône-Alpes,https://www.francecompetences.fr/recherche/rncp/37674/,https://www.francecompetences.fr/recherche/rs/5487/,11000007200014,79279132900016,Active,Active,TP - Développeur web et web mobile,Gérer un projet en mobilisant les méthodes agiles,
"Simplon Montreuil,100% en ligne,Distance,A distance,A distance,100% Distanciel,La Réunion  - Saint-Pierre,Simplon Lyon,Simplon Marseille Le Cloître,Simplon Lyon",True,Développement d'applications,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,SIMPLON.CO,37873,5043,06/01/2025,,13/12/2024,False,au-delà de 7 mois,"31067,31036,31010,31084,31006",31024,"Analyse programmation,Administration base de données,Architecture web,Informatique de gestion,Sécurité informatique",Méthode agile,Concepteur-rice Développeur-se en environnement DevOps,Niveau 6,326t,326,"Programmation, mise en place de logiciels","Informatique, traitement de l'information, réseaux de transmission",Auvergne-Rhône-Alpes,https://www.francecompetences.fr/recherche/rncp/37873/,https://www.francecompetences.fr/recherche/rs/5043/,11000007200014,79279132900016,Active,Active,TP - Concepteur développeur d'applications,Exploiter les outils de développement de la chaîne DevOps,
"Simplon Montreuil,100% en ligne,Distance,A distance,A distance,100% Distanciel,La Réunion  - Saint-Pierre,Simplon Lyon,Simplon Marseille Le Cloître,Simplon Lyon",True,Développement d'applications,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,SIMPLON.CO,37873,5043,23/09/2024,,23/09/2024,False,au-delà de 7 mois,"31067,31036,31010,31084,31006",31024,"Analyse programmation,Administration base de données,Architecture web,Informatique de gestion,Sécurité informatique",Méthode agile,Concepteur-rice Développeur-se en environnement DevOps,Niveau 6,326t,326,"Programmation, mise en place de logiciels","Informatique, traitement de l'information, réseaux de transmission",Provence-Alpes-Cote d'Azur,https://www.francecompetences.fr/recherche/rncp/37873/,https://www.francecompetences.fr/recherche/rs/5043/,11000007200014,79279132900016,Active,Active,TP - Concepteur développeur d'applications,Exploiter les outils de développement de la chaîne DevOps,
"Simplon Valenciennes - Les Ateliers Numériques,Simplon Clermont,Simplon Grenoble,Simplon Bordeaux / Bayonne,100% en ligne,100% en ligne,A distance,A distance,A distance,A distance,100% à distance,Distance",True,Développement d'applications,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,SIMPLON.CO,37873,5487,23/09/2024,26/09/2025,26/09/2025,False,au-delà de 7 mois,"31067,31036,31010,31084,31006",31024,"Analyse programmation,Administration base de données,Architecture web,Informatique de gestion,Sécurité informatique",Méthode agile,Concepteur-ice développeur-se d'applications,Niveau 6,326t,"310p,315p,300","Programmation, mise en place de logiciels","Spécialités plurivalentes des échanges et de la gestion (organisation , gestion),Spécialités plurivalentes des échanges et de la gestion (organisation, gestion),Spécialites plurivalentes des services",Grand Ouest,https://www.francecompetences.fr/recherche/rncp/37873/,https://www.francecompetences.fr/recherche/rs/5487/,11000007200014,79279132900016,Active,Active,TP - Concepteur développeur d'applications,Gérer un projet en mobilisant les méthodes agiles,
"100% en ligne,A distance,Simplon Montreuil",True,Infrastructures et cybersécurité,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,,37682,,23/09/2024,26/09/2026,14/09/2024,False,au-delà de 7 mois,"24231,31008",,"Réseau informatique,Système information",,Technicien-ne supérieur-e systèmes et réseaux,Niveau 5,"326p,326r,326u",,"Informatique, traitement de l'information (organisation, gestion),Assistance informatique, maintenance de logiciels et réseaux,Exploitation informatique",,Île-de-France,https://www.francecompetences.fr/recherche/rncp/37682/,,11000007200014,,Active,,TP - Technicien supérieur systèmes et réseaux,,
"Simplon Valenciennes - Les Ateliers Numériques,Simplon Clermont,Simplon Grenoble,Simplon Bordeaux / Bayonne,100% en ligne,100% en ligne,A distance,A distance,A distance,A distance,100% à distance,Distance",True,Développement d'applications,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,SIMPLON.CO,37873,5487,23/09/2024,26/09/2025,14/09/2024,False,au-delà de 7 mois,"31067,31036,31010,31084,31006",31024,"Analyse programmation,Administration base de données,Architecture web,Informatique de gestion,Sécurité informatique",Méthode agile,Concepteur-ice développeur-se d'applications,Niveau 6,326t,"310p,315p,300","Programmation, mise en place de logiciels","Spécialités plurivalentes des échanges et de la gestion (organisation , gestion),Spécialités plurivalentes des échanges et de la gestion (organisation, gestion),Spécialites plurivalentes des services",Hauts-de-France,https://www.francecompetences.fr/recherche/rncp/37873/,https://www.francecompetences.fr/recherche/rs/5487/,11000007200014,79279132900016,Active,Active,TP - Concepteur développeur d'applications,Gérer un projet en mobilisant les méthodes agiles,
,True,Infrastructures et cybersécurité,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,,37682,,23/09/2024,26/09/2025,14/09/2024,False,au-delà de 7 mois,"24231,31008",,"Réseau informatique,Système information",,Technicien-ne supérieur-e systèmes et réseaux,Niveau 5,"326p,326r,326u",,"Informatique, traitement de l'information (organisation, gestion),Assistance informatique, maintenance de logiciels et réseaux,Exploitation informatique",,Auvergne-Rhône-Alpes,https://www.francecompetences.fr/recherche/rncp/37682/,,11000007200014,,Active,,TP - Technicien supérieur systèmes et réseaux,,
"100% en ligne,A distance,Simplon Montreuil",False,Infrastructures et cybersécurité,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,,37682,,22/09/2024,,22/09/2024,False,au-delà de 7 mois,"24231,31008",,"Réseau informatique,Système information",,Technicien-ne supérieur-e systèmes et réseaux,Niveau 5,"326p,326r,326u",,"Informatique, traitement de l'information (organisation, gestion),Assistance informatique, maintenance de logiciels et réseaux,Exploitation informatique",,Île-de-France,https://www.francecompetences.fr/recherche/rncp/37682/,,11000007200014,,Active,,TP - Technicien supérieur systèmes et réseaux,,
"Simplon  Nantes,Simplon Rennes,Simplon Grenoble,Simplon Lyon,Simplon Montpellier,Simplon Toulouse,Simplon Marseille Le Cloître,100% en ligne,Distance,100% Distanciel,Simplon Nice",False,Infrastructures et cybersécurité,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,SIMPLON.CO,37682,5020,09/09/2024,,23/09/2024,False,au-delà de 7 mois,"24231,31008","31090,31006","Réseau informatique,Système information","Programmation web,Sécurité informatique",Technicien-ne supérieur-e systèmes et réseaux - Spécialité surveillance de sécurité,Niveau 5,"326p,326r,326u",326,"Informatique, traitement de l'information (organisation, gestion),Assistance informatique, maintenance de logiciels et réseaux,Exploitation informatique","Informatique, traitement de l'information, réseaux de transmission",Provence-Alpes-Cote d'Azur,https://www.francecompetences.fr/recherche/rncp/37682/,https://www.francecompetences.fr/recherche/rs/5020/,11000007200014,79279132900016,Active,Active,TP - Technicien supérieur systèmes et réseaux, Surveiller un système d’information sur des critères de sécurité informatique,"En contrat de professionnalisation / en contrat d’apprentissage,Après un parcours de formation continue,Par expérience."
